fold,k,draw,gamma_rmse,pl0_rmse
amsterdam,0,0,0.6778352856636047,18.160799026489258
amsterdam,3,0,0.6114138960838318,15.976506233215332
amsterdam,3,1,0.64170902967453,16.31197166442871
amsterdam,3,2,0.7376596927642822,22.3587589263916
amsterdam,3,3,0.561671257019043,15.29419994354248
amsterdam,3,4,0.68988436460495,19.281347274780273
amsterdam,3,5,0.9996766448020935,25.201263427734375
amsterdam,3,6,0.6603740453720093,18.604572296142578
amsterdam,3,7,0.5936588048934937,15.735281944274902
amsterdam,3,8,0.8567580580711365,18.94840431213379
amsterdam,3,9,0.8674241900444031,25.340299606323242
amsterdam,5,0,0.6252498626708984,17.548673629760742
amsterdam,5,1,0.5774838924407959,15.79180908203125
amsterdam,5,2,0.6681658625602722,17.238271713256836
amsterdam,5,3,0.5726228356361389,15.482664108276367
amsterdam,5,4,0.804576575756073,21.388994216918945
amsterdam,5,5,0.8502165079116821,23.146541595458984
amsterdam,5,6,0.6210553050041199,17.134428024291992
amsterdam,5,7,0.586111843585968,15.902231216430664
amsterdam,5,8,0.5858237743377686,15.859886169433594
amsterdam,5,9,0.5787515640258789,15.876687049865723
amsterdam,10,0,0.6370663642883301,17.292856216430664
amsterdam,10,1,0.5570730566978455,15.227023124694824
amsterdam,10,2,0.5580971837043762,15.803095817565918
amsterdam,10,3,0.5377705097198486,14.838594436645508
amsterdam,10,4,0.5915660858154297,16.462392807006836
amsterdam,10,5,0.5592239499092102,15.219803810119629
amsterdam,10,6,0.5437079668045044,14.903940200805664
amsterdam,10,7,0.5709646940231323,15.50466251373291
amsterdam,10,8,0.5285215377807617,14.582391738891602
amsterdam,10,9,0.5234142541885376,14.591193199157715
amsterdam,25,0,0.528142511844635,14.949397087097168
amsterdam,25,1,0.47543346881866455,13.71929931640625
amsterdam,25,2,0.5191173553466797,14.507044792175293
amsterdam,25,3,0.48505839705467224,13.825968742370605
amsterdam,25,4,0.5448451042175293,15.352804183959961
amsterdam,25,5,0.5073105096817017,14.476825714111328
amsterdam,25,6,0.49114832282066345,13.739291191101074
amsterdam,25,7,0.4999735355377197,14.566859245300293
