model,fold,gamma_nmse,gamma_rmse,gamma_mae,gamma_pearson,gamma_spearman,pl0_nmse,pl0_rmse,pl0_mae,pl0_pearson,pl0_spearman
terranet_encoder,amsterdam,0.055477142333984375,0.8113691806793213,0.7094510197639465,-0.08742980659008026,-0.07394922904966983,0.5530668497085571,21.36882781982422,18.683778762817383,0.016292918473482132,0.026167932360333986
terranet_encoder,barcelona,0.012674453668296337,0.458304226398468,0.3541615605354309,0.6581847667694092,0.5938531739112539,1.0666991472244263,12.00137996673584,9.14931583404541,0.11689170449972153,0.08770171777541037
terranet_encoder,berlin,0.04091230034828186,0.7793707847595215,0.5962844491004944,0.10470877587795258,0.06748387731723235,2.55643892288208,21.328073501586914,16.102510452270508,0.014275861904025078,-0.028485704671817626
terranet_encoder,chicago,0.33423981070518494,1.3380440473556519,1.195773959159851,-0.036219172179698944,-0.025089952261184077,0.5383437871932983,40.270530700683594,36.39083480834961,0.059774503111839294,0.011617427320034148
terranet_encoder,hamburg,0.03522543981671333,0.7344443202018738,0.5421215891838074,0.47937390208244324,0.5299495286694728,4.469789505004883,21.63286781311035,16.67892074584961,0.06765024363994598,0.0451256121846856
terranet_encoder,london,0.01574171893298626,0.4735686480998993,0.3771773874759674,0.3533920347690582,0.37612061606060065,0.5029829144477844,11.1217622756958,8.393396377563477,0.15550097823143005,0.10364002537663695
terranet_encoder,munich,0.01335515920072794,0.48525193333625793,0.39576780796051025,0.6415586471557617,0.6119925849223715,2.324380397796631,12.304055213928223,9.907510757446289,0.19640587270259857,0.10064648635476192
terranet_encoder,newyork,0.1905825287103653,1.0451507568359375,0.9067127704620361,0.13452975451946259,0.09217325022743478,0.30042505264282227,28.570053100585938,24.498722076416016,0.34084656834602356,0.28920980334041163
terranet_encoder,paris,0.014399207197129726,0.4898925721645355,0.41998490691185,0.703683614730835,0.7043920754364446,1.0725098848342896,11.585893630981445,9.53557300567627,0.25005394220352173,0.1708499600162679
terranet_encoder,prague,0.015454370528459549,0.5183402299880981,0.4003945589065552,0.6441434621810913,0.6205052715148778,3.7178308963775635,14.538939476013184,11.551604270935059,0.054952848702669144,0.05562798656442275
terranet_encoder,vienna,0.008679850026965141,0.3670562207698822,0.27624326944351196,0.6440733671188354,0.5848530010263769,0.27103933691978455,8.217446327209473,6.139501571655273,0.2929719090461731,0.1985529781141443
