fold,mode,k,draw,gamma_rmse,pl0_rmse,source
amsterdam,residual,50,8,0.4320460225189788,12.574202633334885,gbdt
amsterdam,bias,50,9,0.557791459441904,15.52624677435912,gbdt
amsterdam,residual,50,9,0.43590049823642363,12.955212360520711,gbdt
amsterdam,bias,100,0,0.5638773608186138,15.684734093290217,gbdt
amsterdam,residual,100,0,0.4115758287912209,12.315140042080037,gbdt
amsterdam,bias,100,1,0.5625236754442525,15.637967417040151,gbdt
amsterdam,residual,100,1,0.4270660240797307,12.59477365308245,gbdt
amsterdam,bias,100,2,0.5660153544730524,15.727473523485974,gbdt
amsterdam,residual,100,2,0.4391210568585115,12.908514059560108,gbdt
amsterdam,bias,100,3,0.5553451393584089,15.460797648365014,gbdt
amsterdam,residual,100,3,0.4156604377695443,12.286196445187416,gbdt
amsterdam,bias,100,4,0.5618836509795673,15.646376480812597,gbdt
amsterdam,residual,100,4,0.43194362358025795,12.721797787258614,gbdt
amsterdam,bias,100,5,0.5622256934091645,15.58480124098389,gbdt
amsterdam,residual,100,5,0.42236017155706035,12.493848206963284,gbdt
amsterdam,bias,100,6,0.5629881494209427,15.718967393771072,gbdt
amsterdam,residual,100,6,0.43184593018681067,12.972580094628656,gbdt
amsterdam,bias,100,7,0.5698897908060379,15.95703068722664,gbdt
amsterdam,residual,100,7,0.4450014998022796,13.052405095522964,gbdt
amsterdam,bias,100,8,0.5614686825577923,15.583902530082073,gbdt
amsterdam,residual,100,8,0.42902665186542016,12.59894519044377,gbdt
amsterdam,bias,100,9,0.5652911404429115,15.77333295161955,gbdt
amsterdam,residual,100,9,0.4426672579740521,13.167397937529055,gbdt
barcelona,bias,0,0,0.41885421570012876,11.143511993269394,gbdt
barcelona,residual,0,0,0.41885421570012876,11.143511993269394,gbdt
barcelona,bias,3,0,0.3605954488072504,8.83438264201887,gbdt
barcelona,residual,3,0,0.3610346084265915,8.831150442933255,gbdt
barcelona,bias,3,1,0.35977937389408393,10.627948102992917,gbdt
barcelona,residual,3,1,0.35729744184209294,10.52163848896757,gbdt
barcelona,bias,3,2,0.3513186535362189,9.341433861680569,gbdt
barcelona,residual,3,2,0.339100292613755,9.05521780024208,gbdt
barcelona,bias,3,3,0.4577083263502785,12.392582953082517,gbdt
barcelona,residual,3,3,0.45715606121980223,12.312717384511144,gbdt
barcelona,bias,3,4,0.31677276116209885,12.395814322181552,gbdt
barcelona,residual,3,4,0.3156537727061677,12.335960778808714,gbdt
barcelona,bias,3,5,0.3569697466317787,9.941082332310534,gbdt
barcelona,residual,3,5,0.35525252204515073,9.942549813460442,gbdt
barcelona,bias,3,6,0.3287576506080598,8.905607866844813,gbdt
barcelona,residual,3,6,0.32674444120102064,8.803327146651874,gbdt
barcelona,bias,3,7,0.4700685719833753,9.339363878653769,gbdt
barcelona,residual,3,7,0.47040526592917303,9.301099509874575,gbdt
barcelona,bias,3,8,0.39306536212448046,9.707713504118791,gbdt
barcelona,residual,3,8,0.3924335922884457,9.655675612411295,gbdt
barcelona,bias,3,9,0.4395846131354064,10.03985843539442,gbdt
barcelona,residual,3,9,0.4374300926539388,10.007170270912587,gbdt
barcelona,bias,5,0,0.3219931997913816,8.94478415808475,gbdt
barcelona,residual,5,0,0.3210152893582698,8.915223648970677,gbdt
barcelona,bias,5,1,0.31815684493433494,9.460468879503605,gbdt
barcelona,residual,5,1,0.32228067392796717,9.523330482612382,gbdt
barcelona,bias,5,2,0.3542791637422651,9.520311755639266,gbdt
barcelona,residual,5,2,0.3523786168745985,9.41824219843146,gbdt
barcelona,bias,5,3,0.3173893351740539,9.07961987138515,gbdt
barcelona,residual,5,3,0.3200071014061052,9.120322982889174,gbdt
barcelona,bias,5,4,0.31872265424004304,9.320655848261042,gbdt
barcelona,residual,5,4,0.3192761567946196,9.31420110943758,gbdt
barcelona,bias,5,5,0.4022876546316984,8.906852881730968,gbdt
barcelona,residual,5,5,0.40120698115203934,8.811890027444885,gbdt
barcelona,bias,5,6,0.3423380125347197,9.609325642082409,gbdt
barcelona,residual,5,6,0.3406644988935707,9.56950878013906,gbdt
barcelona,bias,5,7,0.32030929393850266,9.876379507217415,gbdt
barcelona,residual,5,7,0.3204508612582524,9.77087505810442,gbdt
barcelona,bias,5,8,0.32320569568114155,8.84190047003304,gbdt
barcelona,residual,5,8,0.32119673552416533,8.74399194643808,gbdt
barcelona,bias,5,9,0.3170882553729036,9.082592010483443,gbdt
barcelona,residual,5,9,0.31729483660610686,9.083023923314387,gbdt
barcelona,bias,10,0,0.3371511655814669,9.813200500974942,gbdt
barcelona,residual,10,0,0.3391774073347441,9.62845876356758,gbdt
barcelona,bias,10,1,0.32469172531306306,8.857350453975538,gbdt
barcelona,residual,10,1,0.3227052263986433,8.661459497530357,gbdt
barcelona,bias,10,2,0.36377121332097595,9.26205292391425,gbdt
barcelona,residual,10,2,0.3647822549732353,9.102324449709712,gbdt
barcelona,bias,10,3,0.3161844638824164,8.851655238859902,gbdt
barcelona,residual,10,3,0.3179083745719033,8.764549217082589,gbdt
barcelona,bias,10,4,0.3222051261248702,9.462069770729128,gbdt
barcelona,residual,10,4,0.3234696162963425,9.536081702861368,gbdt
barcelona,bias,10,5,0.3693956918378292,10.613699585710531,gbdt
barcelona,residual,10,5,0.36183648660399725,10.083136635787628,gbdt
barcelona,bias,10,6,0.40423399051657727,10.875999558923795,gbdt
barcelona,residual,10,6,0.4050568115451112,10.70730166455239,gbdt
barcelona,bias,10,7,0.36173320511767376,9.306597483837367,gbdt
barcelona,residual,10,7,0.3724994569052932,9.421509318650498,gbdt
barcelona,bias,10,8,0.32724551127882745,8.84555235553294,gbdt
barcelona,residual,10,8,0.32532655570112934,8.626321516386453,gbdt
barcelona,bias,10,9,0.32145486787887595,8.819093695479564,gbdt
barcelona,residual,10,9,0.3200370310519579,8.755525786881336,gbdt
barcelona,bias,25,0,0.3299851198817369,9.092219136429646,gbdt
barcelona,residual,25,0,0.3305983000448554,9.047829649385536,gbdt
barcelona,bias,25,1,0.3179983415283643,8.903008431491466,gbdt
barcelona,residual,25,1,0.31720789578792935,8.644558301037174,gbdt
barcelona,bias,25,2,0.3169752923491541,8.921762668182122,gbdt
barcelona,residual,25,2,0.3161961497971247,8.561001366052114,gbdt
barcelona,bias,25,3,0.32357942079884583,8.857384814567816,gbdt
barcelona,residual,25,3,0.3193097230046174,8.44069181332133,gbdt
barcelona,bias,25,4,0.31881694002572053,9.047659692597922,gbdt
barcelona,residual,25,4,0.31522491603912084,8.661529490581033,gbdt
barcelona,bias,25,5,0.3194022794196543,8.880079553942643,gbdt
barcelona,residual,25,5,0.3194865619511759,8.50813343022428,gbdt
barcelona,bias,25,6,0.3216619506671428,9.129838447092,gbdt
barcelona,residual,25,6,0.3215963449234687,8.922641090444763,gbdt
barcelona,bias,25,7,0.33344575480930433,8.849259828454827,gbdt
barcelona,residual,25,7,0.34502619462627415,8.713323529397513,gbdt
barcelona,bias,25,8,0.317473363173242,8.927912940537736,gbdt
barcelona,residual,25,8,0.3166807094393329,8.512383708477934,gbdt
barcelona,bias,25,9,0.326116268683793,9.211394177400756,gbdt
barcelona,residual,25,9,0.3226654640707203,8.929841387275022,gbdt
barcelona,bias,50,0,0.320145456084159,9.048923642104665,gbdt
barcelona,residual,50,0,0.3162997373714418,8.63332536080996,gbdt
barcelona,bias,50,1,0.31860886510787456,8.790800230015215,gbdt
barcelona,residual,50,1,0.31880105923516616,8.324773795735284,gbdt
barcelona,bias,50,2,0.3346229305574459,9.137736675295011,gbdt
barcelona,residual,50,2,0.3341132041259753,8.717457684714844,gbdt
barcelona,bias,50,3,0.3197466966361037,8.906971162005709,gbdt
barcelona,residual,50,3,0.3160391868209329,8.422681199317548,gbdt
barcelona,bias,50,4,0.3183653973271917,9.0171329075407,gbdt
barcelona,residual,50,4,0.3171524195751846,8.61158115420754,gbdt
barcelona,bias,50,5,0.3180158287205392,8.880191563467429,gbdt
barcelona,residual,50,5,0.3149670623019902,8.304773589339955,gbdt
barcelona,bias,50,6,0.3206001695737379,8.899895849824818,gbdt
barcelona,residual,50,6,0.3186399580885556,8.462079765828912,gbdt
barcelona,bias,50,7,0.3185739632388921,8.872967129172473,gbdt
barcelona,residual,50,7,0.3133642502051951,8.29009031743115,gbdt
barcelona,bias,50,8,0.31685604243736537,8.81325660026963,gbdt
barcelona,residual,50,8,0.3155066043320473,8.426526215443513,gbdt
barcelona,bias,50,9,0.31780155921341807,8.83782712555787,gbdt
barcelona,residual,50,9,0.31753934675411527,8.59020819421053,gbdt
barcelona,bias,100,0,0.316659365938816,8.835446913560622,gbdt
barcelona,residual,100,0,0.3115049459601822,8.27399192664583,gbdt
